-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2010 through 12/31/2024 in LST
Location: Latitude  -33.8697   Longitude 151.198 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 31.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,RH2M
2010,1,1,0,95.32
2010,1,1,1,95.42
2010,1,1,2,95.43
2010,1,1,3,95.49
2010,1,1,4,95.65
2010,1,1,5,94.2
2010,1,1,6,91.23
2010,1,1,7,87.22
2010,1,1,8,80.68
2010,1,1,9,73.76
2010,1,1,10,68.27
2010,1,1,11,64.42
2010,1,1,12,61.81
2010,1,1,13,60.5
2010,1,1,14,60.02
2010,1,1,15,59.95
2010,1,1,16,60.92
2010,1,1,17,63.37
2010,1,1,18,66.86
2010,1,1,19,70.52
2010,1,1,20,74.27
2010,1,1,21,78.09
2010,1,1,22,81.81
2010,1,1,23,84.84
2010,1,2,0,87.13
2010,1,2,1,88.29
2010,1,2,2,88.76
2010,1,2,3,88.87
2010,1,2,4,88.75
2010,1,2,5,87.64
2010,1,2,6,84.97
2010,1,2,7,77.67
2010,1,2,8,69.73
2010,1,2,9,62.27
2010,1,2,10,55.7
2010,1,2,11,52.51
2010,1,2,12,54.67
2010,1,2,13,57.3
2010,1,2,14,59.55
2010,1,2,15,63.08
2010,1,2,16,68.01
2010,1,2,17,73.5
2010,1,2,18,81.1
2010,1,2,19,88.55
2010,1,2,20,92.87
2010,1,2,21,94.83
2010,1,2,22,93.49
2010,1,2,23,91.47
2010,1,3,0,89.66
2010,1,3,1,87.49
2010,1,3,2,84.99
2010,1,3,3,82.88
2010,1,3,4,81.68
2010,1,3,5,80.41
2010,1,3,6,78.29
2010,1,3,7,75.3
2010,1,3,8,73.62
2010,1,3,9,72.91
2010,1,3,10,72.61
2010,1,3,11,73.04
2010,1,3,12,74.05
2010,1,3,13,74.31
2010,1,3,14,73.85
2010,1,3,15,74.22
2010,1,3,16,75.28
2010,1,3,17,76.92
2010,1,3,18,79.21
2010,1,3,19,80.9
2010,1,3,20,81.11
2010,1,3,21,80.45
2010,1,3,22,80.2
2010,1,3,23,79.62
2010,1,4,0,79.44
2010,1,4,1,79.15
2010,1,4,2,78.69
2010,1,4,3,78.32
2010,1,4,4,77.63
2010,1,4,5,75.98
2010,1,4,6,72.21
2010,1,4,7,68.49
2010,1,4,8,65.25
2010,1,4,9,63.45
2010,1,4,10,62.75
2010,1,4,11,62.77
2010,1,4,12,63.39
2010,1,4,13,63.77
2010,1,4,14,64.13
2010,1,4,15,64.93
2010,1,4,16,65.98
2010,1,4,17,67.6
2010,1,4,18,69.95
2010,1,4,19,73.0
2010,1,4,20,75.03
2010,1,4,21,76.6
2010,1,4,22,78.29
2010,1,4,23,80.06
2010,1,5,0,81.51
2010,1,5,1,82.92
2010,1,5,2,84.14
2010,1,5,3,85.08
2010,1,5,4,85.88
2010,1,5,5,83.9
2010,1,5,6,78.18
2010,1,5,7,72.45
2010,1,5,8,68.01
2010,1,5,9,65.81
2010,1,5,10,63.71
2010,1,5,11,61.47
2010,1,5,12,60.52
2010,1,5,13,60.51
2010,1,5,14,60.56
2010,1,5,15,61.62
2010,1,5,16,64.41
2010,1,5,17,68.67
2010,1,5,18,74.51
2010,1,5,19,79.15
2010,1,5,20,81.46
2010,1,5,21,83.15
2010,1,5,22,85.27
2010,1,5,23,87.61
2010,1,6,0,89.77
2010,1,6,1,92.1
2010,1,6,2,94.14
2010,1,6,3,95.25
2010,1,6,4,95.61
2010,1,6,5,94.16
2010,1,6,6,91.19
2010,1,6,7,86.73
2010,1,6,8,82.94
2010,1,6,9,79.63
2010,1,6,10,77.62
2010,1,6,11,76.63
2010,1,6,12,76.43
2010,1,6,13,76.98
2010,1,6,14,78.44
2010,1,6,15,80.3
2010,1,6,16,82.4
2010,1,6,17,84.74
2010,1,6,18,87.29
2010,1,6,19,89.95
2010,1,6,20,91.11
2010,1,6,21,91.51
2010,1,6,22,91.61
2010,1,6,23,91.76
2010,1,7,0,91.2
2010,1,7,1,89.43
2010,1,7,2,87.62
2010,1,7,3,86.23
2010,1,7,4,84.87
2010,1,7,5,82.58
2010,1,7,6,79.07
2010,1,7,7,75.89
2010,1,7,8,73.25
2010,1,7,9,70.88
2010,1,7,10,69.88
2010,1,7,11,69.51
2010,1,7,12,69.06
2010,1,7,13,69.16
2010,1,7,14,69.78
2010,1,7,15,70.57
2010,1,7,16,71.75
2010,1,7,17,73.64
2010,1,7,18,75.88
2010,1,7,19,77.66
2010,1,7,20,78.02
2010,1,7,21,77.84
2010,1,7,22,77.52
2010,1,7,23,77.21
2010,1,8,0,76.93
2010,1,8,1,77.15
2010,1,8,2,77.76
2010,1,8,3,78.33
2010,1,8,4,79.24
2010,1,8,5,78.08
2010,1,8,6,75.03
2010,1,8,7,72.93
2010,1,8,8,70.9
2010,1,8,9,68.76
2010,1,8,10,67.68
2010,1,8,11,66.2
2010,1,8,12,66.12
2010,1,8,13,66.59
2010,1,8,14,67.01
2010,1,8,15,68.55
2010,1,8,16,71.21
2010,1,8,17,74.75
2010,1,8,18,79.62
2010,1,8,19,84.59
2010,1,8,20,87.78
2010,1,8,21,89.68
2010,1,8,22,90.83
2010,1,8,23,91.84
2010,1,9,0,92.82
2010,1,9,1,94.23
2010,1,9,2,95.29
2010,1,9,3,95.55
2010,1,9,4,95.74
2010,1,9,5,93.35
2010,1,9,6,86.24
2010,1,9,7,79.38
2010,1,9,8,71.42
2010,1,9,9,57.61
2010,1,9,10,46.24
2010,1,9,11,38.93
2010,1,9,12,36.34
2010,1,9,13,38.25
2010,1,9,14,42.8
2010,1,9,15,47.05
2010,1,9,16,50.83
2010,1,9,17,55.55
2010,1,9,18,62.51
2010,1,9,19,68.35
2010,1,9,20,69.91
2010,1,9,21,70.03
2010,1,9,22,70.04
2010,1,9,23,70.27
2010,1,10,0,70.36
2010,1,10,1,70.78
2010,1,10,2,70.78
2010,1,10,3,70.47
2010,1,10,4,71.46
2010,1,10,5,69.84
2010,1,10,6,70.06
2010,1,10,7,72.29
2010,1,10,8,70.02
2010,1,10,9,66.33
2010,1,10,10,63.85
2010,1,10,11,63.51
2010,1,10,12,64.62
2010,1,10,13,66.85
2010,1,10,14,70.32
2010,1,10,15,73.88
2010,1,10,16,76.17
2010,1,10,17,78.09
2010,1,10,18,80.97
2010,1,10,19,83.65
2010,1,10,20,83.99
2010,1,10,21,82.36
2010,1,10,22,81.09
2010,1,10,23,80.51
2010,1,11,0,80.6
2010,1,11,1,80.53
2010,1,11,2,79.62
2010,1,11,3,78.76
2010,1,11,4,78.15
2010,1,11,5,75.77
2010,1,11,6,71.99
2010,1,11,7,68.57
2010,1,11,8,65.69
2010,1,11,9,64.49
