REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2024/04/01 00:05:00,6598.12,58.02,TRADE
NSW1,2024/04/01 00:10:00,6586.6,58,TRADE
NSW1,2024/04/01 00:15:00,6611.08,58.02,TRADE
NSW1,2024/04/01 00:20:00,6547.82,58,TRADE
NSW1,2024/04/01 00:25:00,6473.98,56.99,TRADE
NSW1,2024/04/01 00:30:00,6407.72,47.57,TRADE
NSW1,2024/04/01 00:35:00,6369.67,47.89,TRADE
NSW1,2024/04/01 00:40:00,6397.81,56.99,TRADE
NSW1,2024/04/01 00:45:00,6391.47,49.56,TRADE
NSW1,2024/04/01 00:50:00,6257.33,49.56,TRADE
NSW1,2024/04/01 00:55:00,6227.72,49.56,TRADE
NSW1,2024/04/01 01:00:00,6187.9,56.25,TRADE
NSW1,2024/04/01 01:05:00,6187.51,58,TRADE
NSW1,2024/04/01 01:10:00,6168.38,58,TRADE
NSW1,2024/04/01 01:15:00,6140.73,58,TRADE
NSW1,2024/04/01 01:20:00,6163.3,59.49,TRADE
NSW1,2024/04/01 01:25:00,6143.82,59.53,TRADE
NSW1,2024/04/01 01:30:00,6083.55,58,TRADE
NSW1,2024/04/01 01:35:00,6067.57,58,TRADE
NSW1,2024/04/01 01:40:00,6069.16,60.16,TRADE
NSW1,2024/04/01 01:45:00,6047.99,59.77,TRADE
NSW1,2024/04/01 01:50:00,6017.27,58,TRADE
NSW1,2024/04/01 01:55:00,5980.4,58,TRADE
NSW1,2024/04/01 02:00:00,5939.15,58,TRADE
NSW1,2024/04/01 02:05:00,5947.86,58.83,TRADE
NSW1,2024/04/01 02:10:00,6012.07,59.40,TRADE
NSW1,2024/04/01 02:15:00,5969.42,58.85,TRADE
NSW1,2024/04/01 02:20:00,5939.76,58,TRADE
NSW1,2024/04/01 02:25:00,5937.69,59.66,TRADE
NSW1,2024/04/01 02:30:00,5911.97,59.48,TRADE
NSW1,2024/04/01 02:35:00,5914.62,59.90,TRADE
NSW1,2024/04/01 02:40:00,5894.52,58,TRADE
NSW1,2024/04/01 02:45:00,5881.6,58,TRADE
NSW1,2024/04/01 02:50:00,5891.08,59.74,TRADE
NSW1,2024/04/01 02:55:00,5877.38,59.52,TRADE
NSW1,2024/04/01 03:00:00,5849.59,58.59,TRADE
NSW1,2024/04/01 03:05:00,5864.64,58.97,TRADE
NSW1,2024/04/01 03:10:00,5905,58,TRADE
NSW1,2024/04/01 03:15:00,5892.63,58,TRADE
NSW1,2024/04/01 03:20:00,5848.94,58.56,TRADE
NSW1,2024/04/01 03:25:00,5867.8,58.96,TRADE
NSW1,2024/04/01 03:30:00,5880.37,58.35,TRADE
NSW1,2024/04/01 03:35:00,5881.27,58.40,TRADE
NSW1,2024/04/01 03:40:00,5890.95,58.22,TRADE
NSW1,2024/04/01 03:45:00,5900.56,58.21,TRADE
NSW1,2024/04/01 03:50:00,5858.51,49.56,TRADE
NSW1,2024/04/01 03:55:00,5851.08,49.56,TRADE
NSW1,2024/04/01 04:00:00,5834.22,49.56,TRADE
NSW1,2024/04/01 04:05:00,5809.09,56.99,TRADE
NSW1,2024/04/01 04:10:00,5905.89,59.50,TRADE
NSW1,2024/04/01 04:15:00,5916.7,58,TRADE
NSW1,2024/04/01 04:20:00,5911.51,58,TRADE
NSW1,2024/04/01 04:25:00,5878.03,58,TRADE
NSW1,2024/04/01 04:30:00,5946.1,59.47,TRADE
NSW1,2024/04/01 04:35:00,5946.32,58,TRADE
NSW1,2024/04/01 04:40:00,6041.34,59.66,TRADE
NSW1,2024/04/01 04:45:00,6025.32,58,TRADE
NSW1,2024/04/01 04:50:00,6024.04,59.29,TRADE
NSW1,2024/04/01 04:55:00,6029.26,59.06,TRADE
NSW1,2024/04/01 05:00:00,6074.73,61.61,TRADE
NSW1,2024/04/01 05:05:00,6057.66,61.57,TRADE
NSW1,2024/04/01 05:10:00,6157.3,63.41,TRADE
NSW1,2024/04/01 05:15:00,6194.38,78,TRADE
NSW1,2024/04/01 05:20:00,6146.05,63.96,TRADE
NSW1,2024/04/01 05:25:00,6169.65,86.55,TRADE
NSW1,2024/04/01 05:30:00,6192.36,59.70,TRADE
NSW1,2024/04/01 05:35:00,6218.75,58.02,TRADE
NSW1,2024/04/01 05:40:00,6261.89,58.02,TRADE
NSW1,2024/04/01 05:45:00,6300.81,58.02,TRADE
NSW1,2024/04/01 05:50:00,6300.98,58.02,TRADE
NSW1,2024/04/01 05:55:00,6377.47,58.07,TRADE
NSW1,2024/04/01 06:00:00,6343.55,58.07,TRADE
NSW1,2024/04/01 06:05:00,6354.76,58.02,TRADE
NSW1,2024/04/01 06:10:00,6378.32,58.02,TRADE
NSW1,2024/04/01 06:15:00,6385.32,58.02,TRADE
NSW1,2024/04/01 06:20:00,6407.92,58.02,TRADE
NSW1,2024/04/01 06:25:00,6402.54,60.76,TRADE
