-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2010 through 12/31/2024 in LST
Location: Latitude  -33.8697   Longitude 151.198 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 31.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,T2M
2010,1,1,0,21.52
2010,1,1,1,21.43
2010,1,1,2,21.37
2010,1,1,3,21.31
2010,1,1,4,21.26
2010,1,1,5,21.54
2010,1,1,6,22.06
2010,1,1,7,22.8
2010,1,1,8,23.71
2010,1,1,9,24.45
2010,1,1,10,25.06
2010,1,1,11,25.67
2010,1,1,12,26.25
2010,1,1,13,26.65
2010,1,1,14,26.94
2010,1,1,15,27.1
2010,1,1,16,26.97
2010,1,1,17,26.55
2010,1,1,18,25.88
2010,1,1,19,25.18
2010,1,1,20,24.59
2010,1,1,21,24.01
2010,1,1,22,23.48
2010,1,1,23,23.05
2010,1,2,0,22.71
2010,1,2,1,22.55
2010,1,2,2,22.52
2010,1,2,3,22.5
2010,1,2,4,22.47
2010,1,2,5,22.66
2010,1,2,6,23.24
2010,1,2,7,24.36
2010,1,2,8,25.52
2010,1,2,9,26.71
2010,1,2,10,27.93
2010,1,2,11,28.56
2010,1,2,12,28.13
2010,1,2,13,27.82
2010,1,2,14,27.61
2010,1,2,15,27.04
2010,1,2,16,26.2
2010,1,2,17,25.3
2010,1,2,18,24.21
2010,1,2,19,23.23
2010,1,2,20,22.66
2010,1,2,21,22.2
2010,1,2,22,21.52
2010,1,2,23,20.56
2010,1,3,0,19.78
2010,1,3,1,19.53
2010,1,3,2,19.59
2010,1,3,3,19.68
2010,1,3,4,19.68
2010,1,3,5,19.89
2010,1,3,6,20.33
2010,1,3,7,20.73
2010,1,3,8,20.99
2010,1,3,9,21.14
2010,1,3,10,21.24
2010,1,3,11,21.2
2010,1,3,12,21.06
2010,1,3,13,20.96
2010,1,3,14,20.96
2010,1,3,15,20.81
2010,1,3,16,20.53
2010,1,3,17,20.18
2010,1,3,18,19.75
2010,1,3,19,19.42
2010,1,3,20,19.3
2010,1,3,21,19.24
2010,1,3,22,19.12
2010,1,3,23,19.06
2010,1,4,0,18.99
2010,1,4,1,18.97
2010,1,4,2,19.06
2010,1,4,3,19.18
2010,1,4,4,19.31
2010,1,4,5,19.72
2010,1,4,6,20.43
2010,1,4,7,21.05
2010,1,4,8,21.69
2010,1,4,9,22.23
2010,1,4,10,22.61
2010,1,4,11,22.83
2010,1,4,12,22.9
2010,1,4,13,22.94
2010,1,4,14,22.94
2010,1,4,15,22.8
2010,1,4,16,22.55
2010,1,4,17,22.14
2010,1,4,18,21.59
2010,1,4,19,21.06
2010,1,4,20,20.82
2010,1,4,21,20.67
2010,1,4,22,20.51
2010,1,4,23,20.29
2010,1,5,0,20.06
2010,1,5,1,19.79
2010,1,5,2,19.56
2010,1,5,3,19.38
2010,1,5,4,19.26
2010,1,5,5,19.71
2010,1,5,6,20.79
2010,1,5,7,22.02
2010,1,5,8,23.13
2010,1,5,9,24.16
